Artist,Title,id,energy,key,acousticness,instrumentalness,liveness,tempo,type,uri,track_href,analysis_url,duration_ms,set,K12,DBSCAN2.5
Drake ,Circo Loco,7xzTYqlu65JIPPd1MmTChU,0.462,10.0,0.476,3.86e-05,0.108,84.04,audio_features,spotify:track:7xzTYqlu65JIPPd1MmTChU,https://api.spotify.com/v1/tracks/7xzTYqlu65JIPPd1MmTChU,https://api.spotify.com/v1/audio-analysis/7xzTYqlu65JIPPd1MmTChU,174311.0,N,2,0
Eminem ,Tone Deaf,01sWNbL0O1By1wzshtrMsI,0.616,4.0,0.00583,1.77e-06,0.109,105.952,audio_features,spotify:track:01sWNbL0O1By1wzshtrMsI,https://api.spotify.com/v1/tracks/01sWNbL0O1By1wzshtrMsI,https://api.spotify.com/v1/audio-analysis/01sWNbL0O1By1wzshtrMsI,215364.0,N,1,0
Shawn Mendes ,Lost In Japan  Remix,4obmNfBDRw9zS4yAi7oLuo,0.841,5.0,0.0033,0.0,0.547,143.974,audio_features,spotify:track:4obmNfBDRw9zS4yAi7oLuo,https://api.spotify.com/v1/tracks/4obmNfBDRw9zS4yAi7oLuo,https://api.spotify.com/v1/audio-analysis/4obmNfBDRw9zS4yAi7oLuo,203499.0,N,6,0
Meek Mill ,Cold Hearted II,2iTQEWxLtKrIoYr7FIWq6q,0.543,6.0,0.121,8.05e-05,0.331,90.025,audio_features,spotify:track:2iTQEWxLtKrIoYr7FIWq6q,https://api.spotify.com/v1/tracks/2iTQEWxLtKrIoYr7FIWq6q,https://api.spotify.com/v1/audio-analysis/2iTQEWxLtKrIoYr7FIWq6q,240093.0,N,2,0
Rod Wave ,Yungen,3jf3c9EOFam6Q15sho0XWw,0.884,1.0,0.00153,0.0,0.0699,82.225,audio_features,spotify:track:3jf3c9EOFam6Q15sho0XWw,https://api.spotify.com/v1/tracks/3jf3c9EOFam6Q15sho0XWw,https://api.spotify.com/v1/audio-analysis/3jf3c9EOFam6Q15sho0XWw,200029.0,N,1,0
Jung Kook ,Dreamers [Music from the FIFA World Cup Qatar 2022 Official Soundtrack],2SasoXZyv82yYgHiVOvxQn,0.886,9.0,0.0671,0.0,0.461,72.577,audio_features,spotify:track:2SasoXZyv82yYgHiVOvxQn,https://api.spotify.com/v1/tracks/2SasoXZyv82yYgHiVOvxQn,https://api.spotify.com/v1/audio-analysis/2SasoXZyv82yYgHiVOvxQn,136351.0,N,6,0
Machine Gun Kelly ,Go For Broke,0hnvQLkV7yOjslEzflJSK4,0.454,3.0,0.729,0.000442,0.159,123.351,audio_features,spotify:track:0hnvQLkV7yOjslEzflJSK4,https://api.spotify.com/v1/tracks/0hnvQLkV7yOjslEzflJSK4,https://api.spotify.com/v1/audio-analysis/0hnvQLkV7yOjslEzflJSK4,216000.0,N,3,0
Bee Gees ,Stayin' Alive,0PDUDa38GO8lMxLCRc4lL1,0.7,11.0,0.117,0.0,0.0939,124.944,audio_features,spotify:track:0PDUDa38GO8lMxLCRc4lL1,https://api.spotify.com/v1/tracks/0PDUDa38GO8lMxLCRc4lL1,https://api.spotify.com/v1/audio-analysis/0PDUDa38GO8lMxLCRc4lL1,202747.0,N,4,0
Roy Woods ,Instinct,14RtRKcWhxg2qPGLMR21tf,0.798,8.0,0.179,0.0,0.147,134.999,audio_features,spotify:track:14RtRKcWhxg2qPGLMR21tf,https://api.spotify.com/v1/tracks/14RtRKcWhxg2qPGLMR21tf,https://api.spotify.com/v1/audio-analysis/14RtRKcWhxg2qPGLMR21tf,229333.0,N,4,0
Trippie Redd ,Topanga,3hyyG3Rm7DdmDwG2ZHfxFR,0.694,5.0,0.156,0.0289,0.145,130.021,audio_features,spotify:track:3hyyG3Rm7DdmDwG2ZHfxFR,https://api.spotify.com/v1/tracks/3hyyG3Rm7DdmDwG2ZHfxFR,https://api.spotify.com/v1/audio-analysis/3hyyG3Rm7DdmDwG2ZHfxFR,210673.0,N,7,0
